Date,Open,High,Low,Close,Adj Close,Volume
2014-03-07,3827.0,3834.0,3708.3,3740.3,168.3135,1884093
2014-03-10,3729.7,3729.7,3645.3,3671.6,165.22199999999998,929059
2014-03-11,3653.0,3708.9,3631.05,3675.35,165.39075,515534
2014-03-12,3673.4,3703.35,3652.0,3671.3,165.20850000000002,492513
2014-03-13,3420.0,3439.9,3340.0,3357.6,151.09199999999998,5098860
2014-03-14,3340.0,3403.9,3335.05,3394.15,152.73675,1395943
2014-03-18,3400.0,3411.9,3340.0,3350.55,150.77475,1475539
2014-03-19,3350.0,3357.85,3238.75,3271.75,147.22875,1972231
2014-03-20,3270.0,3349.5,3270.0,3303.05,148.63725,1002879
2014-03-21,3330.0,3338.0,3270.5,3305.65,148.75424999999998,1547540
2014-03-22,3294.0,3313.8,3281.2,3296.05,148.32225,51669
2014-03-24,3272.2,3318.45,3270.0,3275.8,147.411,1020043
2014-03-25,3248.0,3279.7,3246.0,3254.4,146.448,943508
2014-03-26,3260.0,3268.95,3230.6,3248.9,146.2005,1057321
2014-03-27,3248.0,3262.9,3215.95,3231.05,145.39725,1699921
2014-03-28,3240.1,3279.0,3227.3,3262.6,146.81699999999998,893353
2014-03-31,3285.3,3304.95,3230.05,3282.8,147.726,1147116
2014-04-01,3283.05,3325.0,3275.0,3313.95,149.12775,1078544
2014-04-02,3348.8,3350.0,3310.5,3322.05,149.49225,705550
2014-04-03,3339.5,3348.0,3319.05,3338.15,150.21675,587527
2014-04-04,3351.0,3356.0,3306.1,3316.05,149.22225,490698
2014-04-07,3298.0,3314.45,3256.0,3293.4,148.203,887193
2014-04-09,3281.05,3309.8,3230.5,3254.55,146.45475,1333085
2014-04-10,3254.5,3257.75,3186.15,3201.2,144.05399999999997,2657905
2014-04-11,3210.0,3255.6,3165.0,3235.15,145.58175,2334792
2014-04-15,3332.2,3388.0,3247.5,3259.8,146.691,2597798
2014-04-16,3241.95,3241.95,3147.5,3157.3,142.0785,1649788
2014-04-17,3180.0,3210.05,3158.35,3192.05,143.64225,1048989
2014-04-21,3210.0,3220.0,3170.0,3182.95,143.23274999999998,764953
2014-04-22,3172.05,3200.0,3142.4,3150.65,141.77925,828362
2014-04-23,3174.05,3191.85,3164.0,3172.65,142.76925,1502090
2014-04-25,3188.0,3200.0,3163.35,3175.6,142.902,745363
2014-04-28,3169.0,3193.0,3165.0,3178.05,143.01225,755310
2014-04-29,3183.0,3195.0,3171.0,3177.75,142.99875,604433
2014-04-30,3177.65,3190.0,3171.0,3180.8,143.136,967742
2014-05-02,3185.0,3247.0,3185.0,3219.7,144.88649999999998,595549
2014-05-05,3192.0,3233.0,3174.55,3176.9,142.9605,524586
2014-05-06,3176.9,3184.5,3155.0,3165.15,142.43175,570753
2014-05-07,3151.0,3170.0,3050.0,3067.35,138.03074999999998,1949509
2014-05-08,3070.0,3088.4,3046.45,3065.3,137.9385,1145249
2014-05-09,3065.0,3125.0,3052.85,3111.45,140.01524999999998,772425
2014-05-12,3118.2,3186.5,3105.05,3175.1,142.87949999999998,880525
2014-05-13,3183.0,3275.0,3183.0,3265.25,146.93625,912496
2014-05-14,3250.25,3265.0,3217.15,3254.1,146.43449999999999,648086
2014-05-15,3254.1,3294.85,3205.25,3272.45,147.26024999999998,1051149
2014-05-16,3299.0,3340.0,3059.05,3177.55,142.98975000000002,1773599
2014-05-19,3198.0,3198.0,3000.1,3015.05,135.67725000000002,2155814
2014-05-20,3049.0,3138.85,3042.2,3122.2,140.499,1098418
2014-05-21,3118.0,3164.3,3099.05,3157.1,142.06949999999998,848538
2014-05-22,3160.0,3180.0,3081.15,3113.9,140.1255,1229093
2014-05-23,3125.0,3171.0,3012.15,3069.55,138.12975,1135222
2014-05-26,3071.0,3110.95,3050.15,3094.85,139.26825,718818
2014-05-27,3100.0,3155.0,3099.5,3134.05,141.03225,623016
2014-05-28,3123.5,3188.0,3118.0,3173.3,142.7985,673665
2014-05-29,3025.0,3025.0,2915.0,2924.5,131.6025,5167666
2014-05-30,2940.0,2959.45,2880.0,2939.4,132.273,3504452
2014-06-02,2960.5,2997.7,2960.5,2993.15,134.69175,778732
2014-06-03,3008.0,3036.95,2974.75,3017.2,135.774,853117
2014-06-04,3015.0,3027.35,2953.5,2984.5,134.3025,688501
2014-06-05,3000.0,3068.4,2962.0,3041.15,136.85175,1519215
2014-06-06,3000.15,3010.0,2950.0,3003.05,135.13725,2110303
2014-06-09,3006.0,3015.0,2976.1,2986.45,134.39024999999998,1357293
2014-06-10,3000.0,3089.2,2996.35,3075.15,138.38175,1309897
2014-06-11,3105.0,3257.25,3090.35,3193.35,143.70075,2546963
2014-06-12,3280.0,3297.05,3120.7,3175.05,142.87725,2641107
2014-06-13,3188.5,3207.0,3131.05,3187.0,143.415,1268968
2014-06-16,3186.0,3259.7,3180.0,3244.15,145.98675,1171916
2014-06-17,3249.0,3267.0,3218.55,3246.85,146.10825,1259924
2014-06-18,3245.0,3275.0,3212.75,3240.5,145.8225,1223910
2014-06-19,3245.85,3323.0,3245.1,3311.9,149.03549999999998,1414213
2014-06-20,3320.0,3339.4,3292.85,3316.6,149.24699999999999,1106625
2014-06-23,3300.0,3308.95,3221.45,3232.55,145.46475,791014
2014-06-24,3230.0,3234.9,3192.15,3203.8,144.171,1329753
2014-06-25,3245.0,3245.0,3206.0,3211.25,144.50625,804190
2014-06-26,3220.0,3235.0,3168.75,3182.5,143.2125,922069
2014-06-27,3200.0,3235.6,3172.0,3223.4,145.053,861343
2014-06-30,3220.0,3263.0,3211.4,3255.55,146.49975,911322
2014-07-01,3245.0,3254.8,3206.0,3221.05,144.94725,582814
2014-07-02,3212.0,3243.6,3198.2,3215.3,144.6885,764954
2014-07-03,3210.2,3228.4,3190.5,3210.7,144.48149999999998,938114
2014-07-04,3200.05,3258.4,3200.05,3245.95,146.06775,719121
2014-07-07,3265.0,3368.0,3260.0,3345.45,150.54524999999998,1454789
2014-07-08,3349.0,3406.35,3303.05,3342.15,150.39675,1432560
2014-07-09,3330.0,3384.0,3290.0,3310.35,148.96574999999999,1033844
2014-07-10,3315.0,3381.7,3250.6,3292.7,148.17149999999998,1418202
2014-07-11,3401.4,3432.0,3300.35,3326.65,149.69925,1978295
2014-07-14,3315.0,3315.0,3185.8,3225.25,145.13625,1028950
2014-07-15,3239.0,3257.95,3217.05,3225.65,145.15425,517475
2014-07-16,3240.0,3245.0,3203.25,3229.6,145.332,573686
2014-07-17,3260.1,3345.9,3231.65,3239.3,145.7685,618334
2014-07-18,3253.0,3274.7,3243.6,3251.55,146.31975,512296
2014-07-21,3255.0,3273.35,3188.1,3200.7,144.0315,929496
2014-07-22,3205.0,3246.7,3198.05,3233.7,145.51649999999998,1091670
2014-07-23,3249.0,3355.0,3249.0,3349.45,150.72525,1478417
2014-07-24,3344.0,3395.0,3321.45,3382.25,152.20125,696445
2014-07-25,3399.0,3399.0,3304.7,3352.2,150.849,667209
2014-07-28,3345.0,3387.0,3320.85,3371.1,151.6995,575181
2014-07-30,3394.0,3394.0,3345.6,3372.2,151.749,1241840
2014-07-31,3380.0,3394.9,3343.2,3367.65,151.54425,1057146
2014-08-01,3350.0,3392.0,3330.0,3341.3,150.3585,950876
2014-08-04,3355.0,3482.9,3349.3,3465.55,155.94975,1635870
2014-08-05,3476.0,3520.0,3470.05,3513.0,158.085,1373203
2014-08-06,3525.0,3608.35,3525.0,3575.85,160.91324999999998,2250523
2014-08-07,3499.0,3544.4,3482.35,3507.35,157.83075,969278
2014-08-08,3500.0,3520.0,3475.0,3482.65,156.71925,476419
2014-08-11,3524.0,3583.7,3510.0,3573.5,160.8075,703584
2014-08-12,3599.0,3599.0,3541.0,3576.8,160.956,739617
2014-08-13,3560.05,3625.0,3550.75,3608.4,162.378,1117670
2014-08-14,3608.0,3627.7,3586.6,3612.55,162.56475,845310
2014-08-18,3612.0,3612.0,3550.0,3559.8,160.191,847236
2014-08-19,3561.0,3589.0,3530.0,3547.8,159.651,803103
2014-08-20,3563.0,3582.5,3547.0,3554.55,159.95475,492278
2014-08-21,3556.25,3563.4,3530.0,3548.95,159.70274999999998,537360
